System check identified some issues:

WARNINGS:
?: (1_8.W001) The standalone TEMPLATE_* settings were deprecated in Django 1.8 and the TEMPLATES dictionary takes precedence. You must put the values of the following settings into your default TEMPLATES dict: TEMPLATE_CONTEXT_PROCESSORS.

WARNINGS:
?: (1_8.W001) The standalone TEMPLATE_* settings were deprecated in Django 1.8 and the TEMPLATES dictionary takes precedence. You must put the values of the following settings into your default TEMPLATES dict: TEMPLATE_CONTEXT_PROCESSORS.

System check identified 1 issue (0 silenced).
[01/Dec/2017 10:34:30] "GET /rapido/master/ HTTP/1.1" 302 0
[01/Dec/2017 10:34:30] "GET /accounts/login/?next=/rapido/master/ HTTP/1.1" 404 7398
[01/Dec/2017 10:34:30] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[01/Dec/2017 10:34:30] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[01/Dec/2017 10:34:31] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[01/Dec/2017 10:34:31] "GET /static/bower_components/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 90112
Traceback (most recent call last):
  File "/usr/lib/python2.7/wsgiref/handlers.py", line 86, in run
    self.finish_response()
  File "/usr/lib/python2.7/wsgiref/handlers.py", line 128, in finish_response
    self.write(data)
  File "/usr/lib/python2.7/wsgiref/handlers.py", line 217, in write
    self._write(data)
  File "/usr/lib/python2.7/socket.py", line 328, in write
    self.flush()
  File "/usr/lib/python2.7/socket.py", line 307, in flush
    self._sock.sendall(view[write_offset:write_offset+buffer_size])
error: [Errno 104] Connection reset by peer
[01/Dec/2017 10:34:31] "GET /static/bower_components/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 500 59
- Broken pipe from ('106.51.109.111', 6361)
[01/Dec/2017 10:34:31] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[01/Dec/2017 10:34:33] "GET /rapido/login/ HTTP/1.1" 200 8405
[01/Dec/2017 10:34:33] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[01/Dec/2017 10:34:33] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[01/Dec/2017 10:34:33] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[01/Dec/2017 10:34:33] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[01/Dec/2017 10:34:35] "POST /rapido/login/ HTTP/1.1" 302 0
[01/Dec/2017 10:34:35] "GET /rapido/master/ HTTP/1.1" 200 16227
[01/Dec/2017 10:34:39] "GET /rapido/admin_receivetrip_list/ HTTP/1.1" 200 19447
[01/Dec/2017 10:34:41] "GET /rapido/admin_dutyslip_list/ HTTP/1.1" 200 20008
[01/Dec/2017 10:34:43] "GET /rapido/admin_invoice_list/ HTTP/1.1" 200 18144
[01/Dec/2017 10:34:46] "GET /rapido/vendor/ HTTP/1.1" 200 18262
[01/Dec/2017 10:34:49] "GET /rapido/admin_invoice_list/ HTTP/1.1" 200 18144
[01/Dec/2017 10:37:05] "GET /rapido/admin_invoice_list/ HTTP/1.1" 200 18144
[01/Dec/2017 10:37:09] "GET /rapido/admin_dutyslip_list/ HTTP/1.1" 200 20008
[01/Dec/2017 10:37:11] "GET /rapido/admin_alltrip_list/ HTTP/1.1" 200 19929
[01/Dec/2017 10:37:13] "GET /rapido/admin_ontrip_list/ HTTP/1.1" 200 18598
[01/Dec/2017 10:37:30] "GET /rapido/admin_ontrip_list/ HTTP/1.1" 302 0
[01/Dec/2017 10:37:30] "GET /accounts/login/?next=/rapido/admin_ontrip_list/ HTTP/1.1" 404 7398
[01/Dec/2017 10:37:30] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[01/Dec/2017 10:37:30] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[01/Dec/2017 10:37:31] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[01/Dec/2017 10:37:31] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
[01/Dec/2017 10:37:32] "GET /rapido/login/ HTTP/1.1" 200 8405
[01/Dec/2017 10:37:32] "GET /static/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 404 7398
[01/Dec/2017 10:37:32] "GET /static/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 404 7398
